PairID,ATS_Before,ATS_After,JobFit_Before,JobFit_After,KeywordJaccard_Before,KeywordJaccard_After,EmbeddingCosine_Before,EmbeddingCosine_After,ΔATS,ΔJobFit,ΔJaccard,ΔCosine
GD_001,60.9,73.8,56.3,42.199999999999996,0.25331297537843106,0.2668675883269804,0.7189146693885301,0.723472982088588,12.899999999999999,-14.100000000000001,0.013554612948549316,0.004558312700057909
GD_002,57.7,73.4,56.3,63.9,0.2194844739902693,0.22672950610315779,0.8416139092254469,0.8490316364154564,15.700000000000003,7.600000000000001,0.007245032112888489,0.007417727190009549
GD_003,61.6,57.800000000000004,61.9,66.9,0.22535056409375848,0.24022905418548685,0.7483251387631032,0.7514057985153437,-3.799999999999997,5.000000000000007,0.014878490091728369,0.0030806597522404777
GD_004,66.0,76.0,44.7,48.7,0.19550503627573088,0.20550184282613687,0.696114453552205,0.7004580814544081,10.0,4.0,0.009996806550405996,0.004343627902203107
GD_005,57.2,68.2,46.2,52.2,0.21311234550949634,0.22465387676052997,0.7901272456051595,0.7975209680768978,11.0,6.0,0.011541531251033632,0.0073937224717383065
GD_006,57.2,66.2,55.5,53.5,,,,,9.0,-2.0,,
GD_007,66.3,74.3,51.9,50.9,,,,,8.0,-1.0,,
GD_008,62.2,76.2,62.5,65.5,,,,,14.0,3.0,,
GD_009,56.1,68.1,52.7,54.7,,,,,11.999999999999993,2.0,,
GD_010,61.1,69.3,48.7,48.300000000000004,,,,,8.199999999999996,-0.3999999999999986,,
